seed,early_events,delta_w_nonzero_neurons,delta_w_zero_neurons,delta_w_to_delta_s,raw_t_to_clipped_t,clipped_t_to_g_td,raw_t_to_neg_g_inh,g_td_to_net_topdown,neg_g_inh_to_net_topdown,net_topdown_to_d_residual,net_topdown_to_apical_mean,apical_mean_to_improvement_contrast,apical_improvement_contrast_to_d_residual,raw_t_to_delta_w,raw_t_to_delta_s,raw_t_to_role,clipped_t_to_delta_w,clipped_t_to_delta_s,clipped_t_to_role,g_td_to_delta_w,g_td_to_delta_s,g_td_to_role,neg_g_inh_to_delta_w,neg_g_inh_to_delta_s,neg_g_inh_to_role,net_topdown_peak_envelope_to_delta_w,net_topdown_peak_envelope_to_delta_s,net_topdown_peak_envelope_to_role,latency_advance_to_delta_w,latency_advance_to_delta_s,latency_advance_to_role,created_spike_frequency_to_delta_w,created_spike_frequency_to_delta_s,created_spike_frequency_to_role,apical_mean_to_delta_w,apical_mean_to_delta_s,apical_mean_to_role,apical_improvement_contrast_to_delta_w,apical_improvement_contrast_to_delta_s,apical_improvement_contrast_to_role,d_residual_to_delta_w,d_residual_to_delta_s,d_residual_to_role
3100,17.75,0.5,7.5,0.49999999999999994,0.8817322164864232,0.9908482253338355,0.6171905284562947,0.9924894586293045,0.7240269249298873,-0.2741013497934341,0.9809380184978082,0.3702261803952648,0.2745229378056998,0.28162244434462835,0.28162244434462835,0.2842114555940817,0.39142850309633903,0.3914285030963391,0.29649034945292885,0.3829408891137835,0.38294088911378343,0.28638116686531834,0.39129693248483954,0.3912969324848396,0.3617045954186097,0.394714889648215,0.394714889648215,0.2875314881240711,0.0,0.0,0.0,0.0,0.0,0.0,0.3914285199155533,0.3914285199155533,0.29649030201575965,0.3618325904466261,0.361832590446626,0.3238731549604062,-0.2506538418849626,-0.2506538418849626,-0.07979861896442131
3101,15.5,0.25,7.75,0.25,0.9102934470318435,0.9424291624546806,0.42146344259869917,0.9986442953571177,0.49031142349155526,0.16066221185630178,0.9375165592265574,0.8145315066381404,0.18198050642679744,0.203786570705489,0.20378657070548895,0.31047744931055027,0.24385182856751672,0.24385182856751675,0.29036755284167093,0.24702922991767667,0.24702922991767656,0.3330694633144001,0.24397501823713327,0.2439750182371333,0.18583323104545302,0.2465140819155329,0.24651408191553287,0.32626501760951254,0.0,0.0,0.0,0.0,0.0,0.0,0.24385183345857261,0.2438518334585726,0.29036724667840397,0.24317114801496545,0.24317114801496542,0.39555498229479397,0.23207424006361907,0.23207424006361901,0.07307843858749802
3102,19.25,1.0,7.0,1.0,0.9174562441086077,0.9828898151296577,0.6690982966156664,0.9894684223670887,0.7352702087632405,0.4763222678334235,0.9704365198342483,0.9072347091448216,0.4987166329915134,0.61515389794764,0.6151538979476401,0.4918025258169858,0.7821057981143714,0.7821057981143716,0.5154751192145188,0.7701146644117095,0.7701146644117097,0.4771754852588222,0.5585077441377053,0.5585077441377053,0.38603590948565697,0.799998447722561,0.799998447722561,0.4828218663362427,0.0,0.0,0.0,0.0,0.0,0.0,0.7821057906173492,0.7821057906173495,0.5154750839077885,0.7629336347537254,0.7629336347537256,0.5264007851481748,0.20012741192997335,0.2001274119299734,0.1311306528480195
3103,16.5,0.0,8.0,0.0,0.8931973061388111,0.9763301925484218,0.4502756672503882,0.9968343370391696,0.4951875057410382,0.2668942067902373,0.9718415962476357,-0.2868782957635114,0.4907420464568524,0.0,0.0,0.13773812384103246,0.0,0.0,0.12645802908228604,0.0,0.0,0.09112641285829864,0.0,0.0,0.08999857928745028,0.0,0.0,0.08977429060126808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12645809337064204,0.0,0.0,0.2618849341685377,0.0,0.0,0.1011793880783178
3104,14.0,0.5,7.5,5.551115123125783e-17,0.904098005634883,0.7487727438154037,0.46383269811426764,0.7471137281841953,0.49686160117861783,-0.2084466312225589,0.7451598086745912,-0.13168254657497097,0.7274631625379155,0.43880038884326805,-0.04633270003523396,0.33250007304392687,0.4832532013456278,-0.01348806147343426,0.1952721634501701,0.48734294727142025,-0.008736704752293295,0.3321701401144956,0.4862467321777709,-0.00983291788839366,0.17258348973810944,0.49083494928142823,-0.0072588368918148904,0.30915846354647564,0.25,-0.24999999999999994,0.09449111825230681,0.24999999999999997,-0.25,0.09449111825230681,0.4832531979528285,-0.013488063665322736,0.195271870559935,-0.21962954288656422,-0.14820097145799285,0.16518110661702973,-0.28158163817079035,-0.21015306674221904,0.07549474651639722
3105,21.5,0.5,7.5,5.551115123125783e-17,0.8703802211049272,0.9721610620098163,0.455286033702899,0.9983991472670611,0.49777196723871275,0.2502852462151582,0.9667773731365191,0.6424592208575579,0.231347942154986,0.4264401512829807,-0.052135750570607126,0.42376356364142836,0.47632912404759187,-0.019605085709544695,0.44272094596138845,0.4792892139612017,-0.01566420070374039,0.39622349854998523,0.48370449603296284,-0.011248917287228322,0.20734489732225259,0.48291900658787246,-0.014333552386899984,0.3914650579724941,0.25,-0.25,0.0944911182523068,0.24999999999999994,-0.2499999999999999,0.09449111825230677,0.47632910944598483,-0.019605099867642167,0.4427210282073918,0.3031263579682648,0.13405215143306917,0.5280169808551605,0.01646069728874066,-0.008195111113610438,-0.009589198704869038
3106,16.75,0.75,7.25,0.75,0.8804877973933013,0.9863414246025118,0.20431318134536125,0.9955165682454263,0.24496024858387913,-0.21259379872616463,0.9837760262364437,0.8109555775971438,-0.053033472168156806,0.5847668843298759,0.584766884329876,0.6697788374420508,0.7099039352504217,0.7099039352504218,0.6078062681618365,0.7197266821725867,0.7197266821725868,0.583820382035612,0.2338149912839988,0.23381499128399885,0.13737594911576945,0.7300884562451666,0.7300884562451666,0.5599969977519332,0.0,0.0,0.0,0.0,0.0,0.0,0.7099039375462346,0.7099039375462347,0.6078062737193486,0.6116800156004957,0.6116800156004958,0.5244663850967484,-0.4564137293979813,-0.45641372939798136,0.057043402246963734
3107,23.25,0.75,7.25,0.2499999999999999,0.9373007226175976,0.9982463357838897,0.9264784732071082,0.9923799702770877,0.9875241395585299,0.24973054355398652,0.9895513973077859,0.49086232794562146,0.6991969682582453,0.6659299270506026,0.16718518597860121,0.43298289513417626,0.7255835551122042,0.22558355511220424,0.3344023136643841,0.7210545837832126,0.2210545837832128,0.32959035657396246,0.7251979224660295,0.22519792246602954,0.33591063967469303,0.7314286064087036,0.23158346460296067,0.28490732997874835,0.25,-0.25,0.09449111825230681,0.25,-0.25,0.09449111825230681,0.7255835561877461,0.22558355618774628,0.33440231116010716,0.708465503711194,0.20846550371119416,0.4186955579927853,0.3808834410327988,-0.11860191077990195,0.25188734138091873
3108,23.25,0.25,7.75,0.25,0.9074833843314478,0.978056949137563,0.6691247070326233,0.990982147690882,0.7417553601206945,0.0016349826965638692,0.9644539417272103,-0.5173589112710181,0.4689168309093582,0.1283999624485153,0.12839996244851531,0.12478406791037694,0.17460075745748868,0.17460075745748865,0.038353984501884514,0.16535945694153692,0.1653594569415369,0.06333140506224212,0.0,0.0,0.003383769064772831,0.16016165923173112,0.16016165923173115,0.024610084505485512,0.0,0.0,0.0,0.0,0.0,0.0,0.17460072073720795,0.17460072073720798,0.03835387688915522,0.2368969607871945,0.23689696078719447,0.07607884135134996,0.2439425108674371,0.24394251086743712,0.002074487460726873
3109,24.5,0.75,7.25,0.25,0.9233028118743344,0.9960211462945552,0.8920515383297061,0.9903931067131637,0.9771393395996755,0.2256842675735384,0.9844701042437156,0.6262951231389512,-0.0892375202919447,0.620822690656772,0.1281528141874807,0.2745550421639525,0.6939858868531351,0.19398973814575324,0.24071089898585257,0.6843120967395693,0.18431209673956925,0.2174258389027372,0.6893101859139681,0.1893101859139681,0.2770426179638006,0.6894243038742996,0.19029916929338647,0.21267678883626037,0.25,-0.24999999999999994,0.0944911182523068,0.25,-0.25,0.09449111825230681,0.6939859067353009,0.19398975807158572,0.24071089679814014,0.6611069620140423,0.16150227934556882,0.38187661197749456,-0.004762226960335403,0.05231377985587621,0.09418505338507693
3110,25.25,0.75,7.25,0.75,0.9001497323727309,0.9899740580879641,0.8640328416229075,0.9865959908800308,0.9842937099308009,0.09743277147880407,0.9698727336607684,0.5677391275500954,0.23560114550920153,0.4937014608790743,0.4937014608790743,0.3825455996831361,0.6070824134325594,0.6070824134325592,0.38249894201292345,0.6027212090427566,0.6027212090427566,0.36160581722023916,0.6221370642231135,0.6221370642231134,0.3913196583411087,0.623772730811152,0.623772730811152,0.36237479913373627,0.0,0.0,0.0,0.24999999999999994,0.24999999999999994,0.0944911182523068,0.6070824124441101,0.6070824124441101,0.382498911246105,0.6405649613537909,0.6405649613537909,0.37669040662118447,-0.159406909271664,-0.15940690927166395,-0.16084561843837025
3111,16.75,0.75,7.25,0.75,0.9062653532372742,0.9886621076760416,0.6592666197840309,0.9939072542927593,0.7402642161948763,0.32744890366422325,0.9780684240677819,0.7268299647583549,0.3729310377790547,0.53821036891773,0.53821036891773,0.31503687457262497,0.630575041573473,0.6305750415734731,0.35297207312528567,0.6403870690543491,0.6403870690543491,0.3653725821761207,0.4244938443229937,0.42449384432299375,0.2211840299709375,0.6462569887844245,0.6462569887844245,0.3495917062629294,0.25,0.25,-0.0944911182523068,0.24999999999999994,0.25,-0.09449111825230679,0.6305750158321042,0.6305750158321043,0.3529722402154144,0.3854027376638749,0.3854027376638749,0.4577899578334833,0.034142010411612134,0.03414201041161216,0.3694040894195205
