seed,period,context,hypothesis,early_events,delta_w_nonzero_neurons,delta_w_zero_neurons,delta_w_to_delta_s,raw_t_to_clipped_t,clipped_t_to_g_td,raw_t_to_neg_g_inh,g_td_to_net_topdown,neg_g_inh_to_net_topdown,net_topdown_to_d_residual,net_topdown_to_apical_mean,apical_mean_to_improvement_contrast,apical_improvement_contrast_to_d_residual,raw_t_to_delta_w,raw_t_to_delta_s,raw_t_to_role,clipped_t_to_delta_w,clipped_t_to_delta_s,clipped_t_to_role,g_td_to_delta_w,g_td_to_delta_s,g_td_to_role,neg_g_inh_to_delta_w,neg_g_inh_to_delta_s,neg_g_inh_to_role,net_topdown_peak_envelope_to_delta_w,net_topdown_peak_envelope_to_delta_s,net_topdown_peak_envelope_to_role,latency_advance_to_delta_w,latency_advance_to_delta_s,latency_advance_to_role,created_spike_frequency_to_delta_w,created_spike_frequency_to_delta_s,created_spike_frequency_to_role,apical_mean_to_delta_w,apical_mean_to_delta_s,apical_mean_to_role,apical_improvement_contrast_to_delta_w,apical_improvement_contrast_to_delta_s,apical_improvement_contrast_to_role,d_residual_to_delta_w,d_residual_to_delta_s,d_residual_to_role
3100,pre,0,3,26,0,8,0.0,0.9310128700863438,0.9983491262227595,0.8562363612575113,0.98899409191719,0.9481290055068424,-0.44157620346772897,0.980861843954273,0.4755517536203314,0.1382580564786541,0.0,0.0,0.1825978671479793,0.0,0.0,0.0896722413954118,0.0,0.0,0.06814770583989432,0.0,0.0,0.2056157020649842,0.0,0.0,0.0678604121211027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08967229230335967,0.0,0.0,0.2945071967159001,0.0,0.0,-0.4340709248084107
3100,post,0,2,12,1,7,0.9999999999999998,0.8447293270824829,0.9960228080165149,0.749243907451067,0.9937740041150098,0.9623089360200902,-0.2107928147269383,0.9874450159074959,0.8294243498861464,-0.09327444199314137,0.6045256412827039,0.6045256412827039,0.7947189204400656,0.8817369392195069,0.8817369392195071,0.7507917778585633,0.8748177669793856,0.8748177669793855,0.7715167476597544,0.9047618620453247,0.9047618620453247,0.6299408335556832,0.9074182578562444,0.9074182578562443,0.7173218123580215,0.0,0.0,0.0,0.0,0.0,0.0,0.8817369963138517,0.8817369963138519,0.7507917132028155,0.7481442141659327,0.7481442141659326,0.5415742824704517,-0.4574107540080809,-0.45741075400808084,0.1428218420463462
3100,pre,1,10,10,0,8,0.0,0.8909857196279433,0.9698918409761459,0.0,0.9999771100571032,0.0,-0.6659369412103906,0.9693042561882153,-0.8232353368721897,0.8467745951557278,0.0,0.0,-0.1291747607436425,0.0,0.0,-0.2641531919382606,0.0,0.0,-0.3137202784690874,0.0,0.0,0.0,0.0,0.0,-0.31608023411294706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2641533268506253,0.0,0.0,-0.1486889488427633,0.0,0.0,-0.20548908124151702
3100,post,1,14,23,1,7,1.0,0.8602009491489226,0.9991291261199217,0.8632818451166008,0.987212628427915,0.9856697581926165,0.22190056023132151,0.9861409579412483,0.999163954946771,0.2063335415815588,0.5219641360958094,0.5219641360958094,0.2887037955319242,0.6839770731658491,0.6839770731658492,0.6096505704960008,0.6569457894757483,0.6569457894757482,0.6195804924307121,0.6604258678940336,0.6604258678940337,0.6112618460537715,0.6714413007366156,0.6714413007366156,0.6810239621301072,0.0,0.0,0.0,0.0,0.0,0.0,0.6839770833483615,0.6839770833483613,0.6096505294074887,0.6991861476205716,0.6991861476205715,0.6081000894980363,-0.5452046135317694,-0.5452046135317695,0.1775436881458963
3101,pre,0,6,18,0,8,0.0,0.8893087028857355,0.997005018472455,0.0,0.999928441352292,0.0,-0.4122374152361053,0.9975252992720499,0.8981719584873527,-0.34205309422533575,0.0,0.0,0.6028853981441248,0.0,0.0,0.5430926316379706,0.0,0.0,0.5370861555295746,0.0,0.0,0.0,0.0,0.0,0.5388788054158988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430926536153525,0.0,0.0,0.46422478717738985,0.0,0.0,0.24394229466339098
3101,post,0,7,11,1,7,1.0,0.9086766883396675,0.9827585143989104,0.8705800603476992,0.9969323391671847,0.9943689018327879,0.9447569416372493,0.9720747229569232,0.9629488770430124,0.9836316787047775,0.815146282821956,0.8151462828219558,0.41685489758597727,0.9754073142700669,0.975407314270067,0.47603453502621845,0.9881169196707067,0.9881169196707063,0.38646345896657697,0.9759000729485331,0.9759000729485332,0.38729833462074165,0.9860563276621316,0.9860563276621315,0.39512277808882657,0.0,0.0,0.0,0.0,0.0,0.0,0.9754073338342905,0.9754073338342903,0.4760344829551329,0.9726845920598618,0.9726845920598617,0.3279038760024625,0.9282969602544763,0.9282969602544761,0.24210596286596336
3101,pre,1,9,13,0,8,0.0,0.9596705393696008,0.795485114845567,0.0,0.9991406626105029,0.0,-0.7119032462338738,0.7915499735224858,0.41228912795407885,-0.7820180793915069,0.0,0.0,-0.38180097864434637,0.0,0.0,-0.20232473606065804,0.0,0.0,0.13867504905630726,0.0,0.0,0.0,0.0,0.0,0.11864490748038012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2023257407952302,0.0,0.0,0.47102789426526015,0.0,0.0,-0.4053441660133944
3101,post,1,6,20,0,8,0.0,0.8835178575323703,0.9944680021017899,0.8152737100470975,0.9985757382984914,0.9668767921334331,0.8220325672579369,0.9889162411547711,0.9847160630681178,0.868361520619255,0.0,0.0,0.6039704801564454,0.0,0.0,0.34466778076315263,0.0,0.0,0.2700531897051418,0.0,0.0,0.35603458956107037,0.0,0.0,0.2524135794529447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3446675909383604,0.0,0.0,0.31906337173406346,0.0,0.0,0.21160966283403215
3102,pre,0,11,23,1,7,1.0,0.9324260297157415,0.9958269152467072,0.8579961989307902,0.9685371768391253,0.9742576940592562,0.25586641944383215,0.9661588810275725,0.9115521745779657,0.535090096712499,0.4918002955713062,0.4918002955713063,0.3584218075627543,0.7073197168629349,0.707319716862935,0.5147104877759279,0.6896390327087727,0.6896390327087731,0.5593035969150933,0.7368453069697,0.7368453069696997,0.45831649946113645,0.7760684265245089,0.7760684265245088,0.6140801432215455,0.0,0.0,0.0,0.0,0.0,0.0,0.7073197039978917,0.7073197039978918,0.5147104158842954,0.7038356664543678,0.703835666454368,0.2832225827333261,0.2621669181948659,0.26216691819486604,-0.31376013476669573
3102,post,0,13,3,1,7,0.9999999999999998,0.8744044912898868,0.9553721408135143,0.0,1.0,0.0,0.0,0.9553721354217349,0.7937523877143272,0.0,0.7609556228590111,0.7609556228590109,0.49927212587192343,0.9553721408135141,0.955372140813514,0.45387593042127883,0.9999999999999998,1.0,0.3779644730092273,0.0,0.0,0.0,0.9999999999999998,1.0,0.37796447300922714,0.0,0.0,0.0,0.0,0.0,0.0,0.9553721354217348,0.955372135421735,0.45387586947814845,0.7793821485803804,0.7793821485803805,0.6814688015481677,0.0,0.0,0.0
