seed,early_events,delta_w_nonzero_neurons,delta_w_zero_neurons,delta_w_to_delta_s,raw_t_to_delta_w,raw_t_to_delta_s,raw_t_to_role,clipped_t_to_delta_w,clipped_t_to_delta_s,clipped_t_to_role,g_td_to_delta_w,g_td_to_delta_s,g_td_to_role,neg_g_inh_to_delta_w,neg_g_inh_to_delta_s,neg_g_inh_to_role,net_topdown_peak_envelope_to_delta_w,net_topdown_peak_envelope_to_delta_s,net_topdown_peak_envelope_to_role,latency_advance_to_delta_w,latency_advance_to_delta_s,latency_advance_to_role,created_spike_frequency_to_delta_w,created_spike_frequency_to_delta_s,created_spike_frequency_to_role,d_residual_to_delta_w,d_residual_to_delta_s,d_residual_to_role
3100,17.75,0.5,7.5,0.49999999999999994,0.28162244434462835,0.28162244434462835,0.2842114555940817,0.39142850309633903,0.3914285030963391,0.29649034945292885,0.3829408891137835,0.38294088911378343,0.28638116686531834,0.39129693248483954,0.3912969324848396,0.3617045954186097,0.394714889648215,0.394714889648215,0.2875314881240711,0.0,0.0,0.0,0.0,0.0,0.0,-0.2506538418849626,-0.2506538418849626,-0.07979861896442131
3101,15.5,0.25,7.75,0.25,0.203786570705489,0.20378657070548895,0.31047744931055027,0.24385182856751672,0.24385182856751675,0.29036755284167093,0.24702922991767667,0.24702922991767656,0.3330694633144001,0.24397501823713327,0.2439750182371333,0.18583323104545302,0.2465140819155329,0.24651408191553287,0.32626501760951254,0.0,0.0,0.0,0.0,0.0,0.0,0.23207424006361907,0.23207424006361901,0.07307843858749802
3102,19.25,1.0,7.0,1.0,0.61515389794764,0.6151538979476401,0.4918025258169858,0.7821057981143714,0.7821057981143716,0.5154751192145188,0.7701146644117095,0.7701146644117097,0.4771754852588222,0.5585077441377053,0.5585077441377053,0.38603590948565697,0.799998447722561,0.799998447722561,0.4828218663362427,0.0,0.0,0.0,0.0,0.0,0.0,0.20012741192997335,0.2001274119299734,0.1311306528480195
3103,16.5,0.0,8.0,0.0,0.0,0.0,0.13773812384103246,0.0,0.0,0.12645802908228604,0.0,0.0,0.09112641285829864,0.0,0.0,0.08999857928745028,0.0,0.0,0.08977429060126808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1011793880783178
3104,14.0,0.5,7.5,5.551115123125783e-17,0.43880038884326805,-0.04633270003523396,0.33250007304392687,0.4832532013456278,-0.01348806147343426,0.1952721634501701,0.48734294727142025,-0.008736704752293295,0.3321701401144956,0.4862467321777709,-0.00983291788839366,0.17258348973810944,0.49083494928142823,-0.0072588368918148904,0.30915846354647564,0.25,-0.24999999999999994,0.09449111825230681,0.24999999999999997,-0.25,0.09449111825230681,-0.28158163817079035,-0.21015306674221904,0.07549474651639722
3105,21.5,0.5,7.5,5.551115123125783e-17,0.4264401512829807,-0.052135750570607126,0.42376356364142836,0.47632912404759187,-0.019605085709544695,0.44272094596138845,0.4792892139612017,-0.01566420070374039,0.39622349854998523,0.48370449603296284,-0.011248917287228322,0.20734489732225259,0.48291900658787246,-0.014333552386899984,0.3914650579724941,0.25,-0.25,0.0944911182523068,0.24999999999999994,-0.2499999999999999,0.09449111825230677,0.01646069728874066,-0.008195111113610438,-0.009589198704869038
3106,16.75,0.75,7.25,0.75,0.5847668843298759,0.584766884329876,0.6697788374420508,0.7099039352504217,0.7099039352504218,0.6078062681618365,0.7197266821725867,0.7197266821725868,0.583820382035612,0.2338149912839988,0.23381499128399885,0.13737594911576945,0.7300884562451666,0.7300884562451666,0.5599969977519332,0.0,0.0,0.0,0.0,0.0,0.0,-0.4564137293979813,-0.45641372939798136,0.057043402246963734
3107,23.25,0.75,7.25,0.2499999999999999,0.6659299270506026,0.16718518597860121,0.43298289513417626,0.7255835551122042,0.22558355511220424,0.3344023136643841,0.7210545837832126,0.2210545837832128,0.32959035657396246,0.7251979224660295,0.22519792246602954,0.33591063967469303,0.7314286064087036,0.23158346460296067,0.28490732997874835,0.25,-0.25,0.09449111825230681,0.25,-0.25,0.09449111825230681,0.3808834410327988,-0.11860191077990195,0.25188734138091873
3108,23.25,0.25,7.75,0.25,0.1283999624485153,0.12839996244851531,0.12478406791037694,0.17460075745748868,0.17460075745748865,0.038353984501884514,0.16535945694153692,0.1653594569415369,0.06333140506224212,0.0,0.0,0.003383769064772831,0.16016165923173112,0.16016165923173115,0.024610084505485512,0.0,0.0,0.0,0.0,0.0,0.0,0.2439425108674371,0.24394251086743712,0.002074487460726873
3109,24.5,0.75,7.25,0.25,0.620822690656772,0.1281528141874807,0.2745550421639525,0.6939858868531351,0.19398973814575324,0.24071089898585257,0.6843120967395693,0.18431209673956925,0.2174258389027372,0.6893101859139681,0.1893101859139681,0.2770426179638006,0.6894243038742996,0.19029916929338647,0.21267678883626037,0.25,-0.24999999999999994,0.0944911182523068,0.25,-0.25,0.09449111825230681,-0.004762226960335403,0.05231377985587621,0.09418505338507693
3110,25.25,0.75,7.25,0.75,0.4937014608790743,0.4937014608790743,0.3825455996831361,0.6070824134325594,0.6070824134325592,0.38249894201292345,0.6027212090427566,0.6027212090427566,0.36160581722023916,0.6221370642231135,0.6221370642231134,0.3913196583411087,0.623772730811152,0.623772730811152,0.36237479913373627,0.0,0.0,0.0,0.24999999999999994,0.24999999999999994,0.0944911182523068,-0.159406909271664,-0.15940690927166395,-0.16084561843837025
3111,16.75,0.75,7.25,0.75,0.53821036891773,0.53821036891773,0.31503687457262497,0.630575041573473,0.6305750415734731,0.35297207312528567,0.6403870690543491,0.6403870690543491,0.3653725821761207,0.4244938443229937,0.42449384432299375,0.2211840299709375,0.6462569887844245,0.6462569887844245,0.3495917062629294,0.25,0.25,-0.0944911182523068,0.24999999999999994,0.25,-0.09449111825230679,0.034142010411612134,0.03414201041161216,0.3694040894195205
